D & B Used Cars|111 Old Benbrook Rd|817-555-5555
54123|1993|Ford|Explorer|SUV|Red|525123|995.00
38764|2001|Ford|Ranger|Truck|Yellow|172544|1995.00
49218|2012|Honda|Civic|SUV|Grey|103221|6995.00
50345|2003|Toyota|Camry|Car|Blue|120321|2995.00
61289|2015|Ford|Escape|SUV|White|98322|12995.00
73692|2018|Chevrolet|Equinox|SUV|Black|65321|15995.00
84519|2010|Ford|F-150|Truck|Silver|140234|10995.00
92357|2007|Honda|Accord|Car|Red|110432|6995.00
10459|2019|Toyota|Tacoma|Truck|Grey|43221|23995.00
11534|2016|Ford|Mustang|Car|Yellow|50234|17995.00
12847|2021|Tesla|Model 3|Car|White|12345|34995.00
13983|2009|Jeep|Wrangler|SUV|Green|97557|14995.00
15017|2012|Honda|CR-V|SUV|Blue|75000|13995.00
16178|2005|Toyota|Sienna|Van|Grey|130210|8995.00
17950|2014|Chevrolet|Silverado|Truck|Black|115395|16995.00
19872|2008|Nissan|Altima|Car|Blue|100987|5995.00
21134|2020|Chevrolet|Camaro|Car|Red|21016|25995.00
23089|2017|Dodge|Grand Caravan|Van|Silver|72876|15995.00
24673|2013|Hyundai|Elantra|Car|Grey|85364|8995.00
26784|2011|Ford|Explorer|SUV|Red|105234|10995.00
27946|2018|Chrysler|Pacifica|Van|Black|63783|18995.00
